Chapter,Question,Answer
Selective Nissen Fundoplication,What is one of the reasons for dysphagia after a Nissen fundoplication?,One of the main reasons for dysphagia is a tight wrap.
Selective Nissen Fundoplication,What is a good practice if the hiatus is found to be narrow during a Nissen fundoplication?,It is good practice to place 1-2 stitches to calibrate the hiatus. The pillars are approximated distally with Prolene (TM) 2-0 single stitches.
Selective Nissen Fundoplication,What is the recommended length of the Nissen fundoplication?,"A short-length Nissen fundoplication is advisable, approximately 1-2 cm, with a maximum of 3 stitches creating a short bridge connecting the right and left side of the wrap."
Heller Myotomy with Modified Dor Fundoplication,What is the medical definition of achalasia?,Achalasia is a primary esophageal motility disorder characterized by the absence of relaxation of the inferior esophageal sphincter and lack of esophageal peristalsis in response to swallowing.
Heller Myotomy with Modified Dor Fundoplication,How is the preoperative evaluation of achalasia performed?,"Preoperative evaluation of these patients must include a high-resolution manometry, barium esophagogram, computed tomography scan, and upper endoscopy."
Heller Myotomy with Modified Dor Fundoplication,Is it required to perform a posterior esophageal dissection during an anterior partial fundoplication?,There is no need for posterior dissection or the creation of a retroesophageal window. This maneuver may cause posterior vagal nerve injury.
Heller Myotomy with Modified Dor Fundoplication,Where does the myotomy start in a Heller myotomy?,The myotomy is started approximately 3 cm above the gastroesophageal junction at the 12 o'clock position.
Heller Myotomy with Modified Dor Fundoplication,What is the typical length and anatomical extent of the myotomy performed during a Heller myotomy?,The myotomy is extended proximally for approximately 7-9 cm above the esophagogastric junction and distally for 2-3 cm onto the gastric wall.
Heller Myotomy with Modified Dor Fundoplication,What tool is preferred when performing a myotomy in a Heller myotomy?,The monopolar 90 degrees hook is the perfect tool for performing the myotomy as it allows safe lifting and division of the esophageal circular fibers.
Heller Myotomy with Modified Dor Fundoplication,"What type of fundoplication is commonly performed with a Heller myotomy, and why?",An anterior partial 180 degrees fundoplication (modified Dor) is routinely performed to partially cover the myotomy site and create a valve to prevent postoperative gastroesophageal reflux.
Heller Myotomy with Modified Dor Fundoplication,What is the reason for doing a Dor fundoplication during a Heller myotomy?,"The decision to perform a Dor fundoplication is based on multiple factors: avoidance of posterior mobilization of the esophagus, which increases the chances of sliding of the junction and severe gastroesophageal reflux; less risk of postoperative dysphagia (the Nissen has stronger compression); better coverage of the abdominal portion of the myotomy."
D2 Total Gastrectomy,What is the indication for a robotic total gastrectomy with limited lymph node dissection (D1)?,Robotic gastrectomy with limited lymph node dissection (D1 or D1+) is indicated for cT1N0 cancers that do not meet the criteria for endoscopic procedures.
D2 Total Gastrectomy,What is the patient position for a robotic total gastrectomy?,"The patient is placed in the supine position with the arms adducted and tucked (unless there is a specific need for anesthesia), and in 30 degrees reverse Trendelenburg."
D2 Total Gastrectomy,How is omentectomy performed during a robotic total gastrectomy?,Robotic total omentectomy is performed using the same procedure as that for open and laparoscopic gastrectomy. Cadiere forceps grasp the soft tissues along the greater curvature of the midbody of the stomach and pull them to the anterior abdominal wall. The assistant grasps the transverse colon using an atraumatic grasper to ensure a secure dissection plane. Division of the greater omentum from the transverse colon along the avascular plane using ultrasonic shears is initiated from the midportion of the transverse colon. The greater omentum is further divided toward the lower pole of the spleen.
D2 Total Gastrectomy,How do you expose the splenic hilar area during a robotic total gastrectomy?,"To fully expose the splenic hilar area to remove the lymph nodes at numbers 10 and 11d, the posterior wall of the upper stomach is retracted cephalad using a Cadiere forceps in R3. The tail of the pancreas is retracted caudally by the assistant using an atraumatic grasper with gentle pressure."
D2 Total Gastrectomy,What surgical steps follow the right-sided omentectomy in a total gastrectomy?,"After right side omentectomy, ligation of the right gastroepiploic artery and completion of infrapyloric dissection (lymph node 6) are performed."
D2 Total Gastrectomy,How is duodenal transection performed during the suprapyloric dissection in a robotic total gastrectomy?,The duodenum is stapled and divided about 1-2 cm distal to the pylorus using a 45-mm endoscopic linear stapler through the assistant port.
D2 Total Gastrectomy,How is the distal esophagus transected during a robotic total gastrectomy?,The distal abdominal esophagus is transected with a 45-mm linear stapler to ensure a sufficient proximal margin.
D2 Total Gastrectomy,What is the reconstruction technique performed after a robotic total gastrectomy?,Intracorporeal antecolic Roux-en-Y esophagojejunostomy using linear staplers is routinely performed after robotic total gastrectomy.
Sleeve Gastrectomy,What is the optimal placement of the camera port during sleeve gastrectomy to ensure clear visualization of the short gastric vessels?,The camera is placed in the patient's left paramedian port for the best visual control of the short gastric vessels.
Sleeve Gastrectomy,How is the Nathanson liver retractor placed at the start of a sleeve gastrectomy?,"A 5-mm epigastric incision is made just below the xiphoid, and a track is created by introducing a 5-mm trocar to facilitate the insertion of the Nathanson liver retractor."
Sleeve Gastrectomy,Where is the starting point of the staple line during gastrocolic ligament division in a sleeve gastrectomy?,The staple line will start 5-6 cm from the pylorus.
Sleeve Gastrectomy,How can surgeons maintain the correct dissection plane during sleeve gastrectomy to prevent bleeding and splenic injury?,"Staying closer to the stomach enhances maintenance of the correct dissection plane, thus avoiding inadvertent bleeding or ischemia to a part of the spleen, injury of the splenic vessels, or polar splenic artery."
Sleeve Gastrectomy,Which stapling device is recommended for transecting the thick tissue of the antrum during sleeve gastrectomy?,Endo-GIA (TM) staplers with black 60-mm linear length for extra-thick tissue with staple line reinforcements are best at the antrum.
Sleeve Gastrectomy,What is it advised to do before firing the staplers in a sleeve gastrectomy?,"Before firing the stapler, at the incisura level, the anesthesiologist may be asked to move the bougie back and forth to verify that the stapler jaws, after being closed, are not constricting the gastric conduit too much."
Sleeve Gastrectomy,"What is the role of the assistant during laparoscopic stapling in sleeve gastrectomy, and how should the stapler be positioned?","The assistant surgeon at the bedside should introduce the stapler using the more right-sided port, which is a 12-mm size. The stapler is positioned 4-6 cm from the pylorus, at an oblique angle, and parallel to the bougie as per the guidance of the console surgeon."
Sleeve Gastrectomy,What is the role of the console surgeon during laparoscopic stapling in a sleeve gastrectomy?,The console surgeon's role in this step is to help in the exposure of the staple line and to offer proper guidance to the assistant.
Sleeve Gastrectomy,What should the console surgeon do if there is bleeding along the staple line during sleeve gastrectomy?,"If there is bleeding on the suture line, interrupted stitches of Prolene (TM) 3-4/0 are applied by the console surgeon."
Sleeve Gastrectomy,What is necessary to be done to accommodate the size of the robotic stapler during sleeve gastrectomy?,It is necessary to upsize the R1 8-mm port to 12 mm to fit the size of the robotic stapler.
Roux-en-Y Gastric Bypass,What are the two mechanisms of action of the Roux-en-Y gastric bypass?,It restricts the amount of food that the stomach can hold and decreases the absorption of nutrients.
Roux-en-Y Gastric Bypass,Why is the robotic platform useful in superobese patients in Roux-en-Y gastric bypass?,It eliminates the abdominal wall torque effect.
Roux-en-Y Gastric Bypass,What are the indications for a Roux-en-Y gastric bypass?,"Candidates for RYGB should meet the following criteria: BMI >= 40 or BMI >= 35 with two or more obesity-related comorbidities, and inability to achieve sustained weight loss for a significant period with prior weight loss efforts."
Roux-en-Y Gastric Bypass,What are the relative contraindications for a Roux-en-Y gastric bypass?,"Severe portal hypertension, dependency on alcohol/drugs, immunosuppression, and intellectual impairment."
Roux-en-Y Gastric Bypass,"After induction of general anesthesia, how is the patient positioned for a Roux-en-Y gastric bypass procedure ?",The patient is positioned supine in 20-25 degrees reverse Trendelenburg with tucked legs and intermittent compression devices.
Roux-en-Y Gastric Bypass,What is the typical volume of the gastric pouch created using reinforced staples during a Roux-en-Y gastric bypass?,A 50-cc gastric pouch is constructed using reinforced staples.
Roux-en-Y Gastric Bypass,What bougie is used to calibrate the gastric pouch in a Roux-en-Y gastric bypass?,A 36 Fr bougie is used to calibrate the pouch. It is advanced by the anesthesiologist until the horizontal staple line is reached.
Roux-en-Y Gastric Bypass,What is the recommended gastric pouch length during Roux-en-Y gastric bypass to minimize the risk of marginal ulcers?,The ideal length of the gastric pouch should be between 4 and 5 cm.
Roux-en-Y Gastric Bypass,Why is ICG used in a Roux-en-Y gastric bypass?,ICG fluorescence is used to assess the small bowel's perfusion prior to the anastomosis construction.
Roux-en-Y Gastric Bypass,What is the typical length of the alimentary limb in a standard RYGB (Roux-en-Y gastric bypass)?,The alimentary limb is around 150 cm.
Roux-en-Y Gastric Bypass,What is the typical length of the biliopancreatic limb in a standard RYGB (Roux-en-Y gastric bypass)?,The biliopancreatic limb is around 50 cm.
Roux-en-Y Gastric Bypass,How is the jejuno-jejunostomy created in a Roux-en-Y gastric bypass?,"A side-to-side jejuno-jejunostomy is created using a 60-mm linear stapler. Afterward, the enterotomy is closed with a two-layered 3-0 PDS (TM) running suture."
Roux-en-Y Gastric Bypass,How is the gastrojejunal anastomosis performed in a Roux-en-Y gastric bypass?,The end-to-side gastrojejunal anastomosis is performed in two layers. The posterior outer layer is made with a 3-0 PDS (TM) running suture. A 1.5-cm gastrotomy is performed just above the posterior suture line with the monopolar hook. The enterotomy is made in the antimesenteric border of the alimentary limb. The posterior internal layer is completed with a 3-0 PDS (TM) running suture. The anterior internal and outer layers are also performed with a 3-0 PDS (TM) running suture.
Roux-en-Y Gastric Bypass,What is the key to avoiding anastomotic complications in a Roux-en-Y gastric bypass?,The key to avoiding anastomotic complications is to create a well-perfused and tension-free gastrojejunal anastomosis.
Roux-en-Y Gastric Bypass,How is the mesenteric gap closed in a Roux-en-Y gastric bypass?,The mesenteric gap at the jejuno-jejunostomy level is closed with a 2-0 polyester running suture.
Roux-en-Y Gastric Bypass,Why should the mesenteric gaps be closed in a Roux-en-Y gastric bypass?,Closure of mesenteric gaps is key for postoperative internal hernia prevention (a frequent cause of urgent reoperation after RYGB).
Roux-en-Y Gastric Bypass,Why is intraoperative esophagogastroscopy performed during Roux-en-Y gastric bypass?,An intraoperative esophagogastroscopy is performed to check the anastomosis for bleeding or leaks.
Small Bowel Resection,What are some indications for small bowel resection?,"Some indications are partial small bowel obstruction due to adhesions, inflammatory bowel disease, and tumors."
Small Bowel Resection,What are the relative contraindications for the robotic approach in small bowel resections?,"Relative contraindications include bulky tumors with vascular invasion, multiple strictures from Crohn's disease, and complete small bowel obstruction with very dilated bowel loops."
Small Bowel Resection,How should adhesiolysis be performed to prevent small bowel injury?,Adhesiolysis should be performed with sharp scissors and blunt laparoscopic instruments without energy because thermal lateral spread may cause bowel injury.
Small Bowel Resection,How is the area of resection established in small bowel resections?,The area of resection is established following oncological principles of about 5-10 cm proximally and distally. Free margins and an average of 8-10 lymph nodes should be included in the specimen.
Small Bowel Resection,How can you restore intestinal continuity after a small bowel resection?,"Restoring intestinal continuity after small bowel resection can be performed in several ways, including intra- versus extracorporeal anastomosis, side-to-side versus end-to-end reconstruction, stapling versus hand-sewn technique, and iso- versus antiperistaltic anastomosis."
Small Bowel Resection,What should be done if a mesenteric hematoma occurs during mesenteric gap closure in a small bowel resection?,"This condition could lead to compression and relative ischemia of the related bowel. Removing the suture can worsen the situation. In this case, it is better to add an additional stitch to stop the intramesenteric bleeding while checking there is no impact on the normal microperfusion of the bowel loop."
Donor Nephrectomy,Which kidney is routinely preferred for donor nephrectomy?,The left kidney is routinely preferred for safer donation.
Donor Nephrectomy,Which kidney should be removed during donor nephrectomy if a vascular anomaly is present?,The one that has an anomaly.
