Chapter,Question,Answer
Roux-en-Y Gastric Bypass,What are the two mechanisms of action of the Roux-en-Y gastric bypass?,It restricts the amount of food that the stomach can hold and decreases the absorption of nutrients.
Roux-en-Y Gastric Bypass,Why is the robotic platform useful in superobese patients in Roux-en-Y gastric bypass?,It eliminates the abdominal wall torque effect.
Roux-en-Y Gastric Bypass,What are the indications for a Roux-en-Y gastric bypass?,"Candidates for RYGB should meet the following criteria: BMI >= 40 or BMI >= 35 with two or more obesity-related comorbidities, and inability to achieve sustained weight loss for a significant period with prior weight loss efforts."
Roux-en-Y Gastric Bypass,What are the relative contraindications for a Roux-en-Y gastric bypass?,"Severe portal hypertension, dependency on alcohol/drugs, immunosuppression, and intellectual impairment."
Roux-en-Y Gastric Bypass,"After induction of general anesthesia, how is the patient positioned for a Roux-en-Y gastric bypass procedure ?",The patient is positioned supine in 20-25 degrees reverse Trendelenburg with tucked legs and intermittent compression devices.
Roux-en-Y Gastric Bypass,What is the typical volume of the gastric pouch created using reinforced staples during a Roux-en-Y gastric bypass?,A 50-cc gastric pouch is constructed using reinforced staples.
Roux-en-Y Gastric Bypass,What bougie is used to calibrate the gastric pouch in a Roux-en-Y gastric bypass?,A 36 Fr bougie is used to calibrate the pouch. It is advanced by the anesthesiologist until the horizontal staple line is reached.
Roux-en-Y Gastric Bypass,What is the recommended gastric pouch length during Roux-en-Y gastric bypass to minimize the risk of marginal ulcers?,The ideal length of the gastric pouch should be between 4 and 5 cm.
Roux-en-Y Gastric Bypass,Why is ICG used in a Roux-en-Y gastric bypass?,ICG fluorescence is used to assess the small bowel's perfusion prior to the anastomosis construction.
Roux-en-Y Gastric Bypass,What is the typical length of the alimentary limb in a standard RYGB (Roux-en-Y gastric bypass)?,The alimentary limb is around 150 cm.
Roux-en-Y Gastric Bypass,What is the typical length of the biliopancreatic limb in a standard RYGB (Roux-en-Y gastric bypass)?,The biliopancreatic limb is around 50 cm.
Roux-en-Y Gastric Bypass,How is the jejuno-jejunostomy created in a Roux-en-Y gastric bypass?,"A side-to-side jejuno-jejunostomy is created using a 60-mm linear stapler. Afterward, the enterotomy is closed with a two-layered 3-0 PDS (TM) running suture."
Roux-en-Y Gastric Bypass,How is the gastrojejunal anastomosis performed in a Roux-en-Y gastric bypass?,The end-to-side gastrojejunal anastomosis is performed in two layers. The posterior outer layer is made with a 3-0 PDS (TM) running suture. A 1.5-cm gastrotomy is performed just above the posterior suture line with the monopolar hook. The enterotomy is made in the antimesenteric border of the alimentary limb. The posterior internal layer is completed with a 3-0 PDS (TM) running suture. The anterior internal and outer layers are also performed with a 3-0 PDS (TM) running suture.
Roux-en-Y Gastric Bypass,What is the key to avoiding anastomotic complications in a Roux-en-Y gastric bypass?,The key to avoiding anastomotic complications is to create a well-perfused and tension-free gastrojejunal anastomosis.
Roux-en-Y Gastric Bypass,How is the mesenteric gap closed in a Roux-en-Y gastric bypass?,The mesenteric gap at the jejuno-jejunostomy level is closed with a 2-0 polyester running suture.
Roux-en-Y Gastric Bypass,Why should the mesenteric gaps be closed in a Roux-en-Y gastric bypass?,Closure of mesenteric gaps is key for postoperative internal hernia prevention (a frequent cause of urgent reoperation after RYGB).
Roux-en-Y Gastric Bypass,Why is intraoperative esophagogastroscopy performed during Roux-en-Y gastric bypass?,An intraoperative esophagogastroscopy is performed to check the anastomosis for bleeding or leaks.
